"","Symbol","HET_ZN_E138_17_S23_rev.normalised","HET_ZN_E141_15_S21_rev.normalised","HET_ZN_E142_19_S25_rev.normalised","HET_ZN_E181_23_S29_rev.normalised","HET_ZN_E54_3_S9_rev.normalised","HET_ZN_E55_7_S13_rev.normalised","HET_ZN_E79_11_S17_rev.normalised","WT_ZN_E158_21_S27_rev.normalised","WT_ZN_E56_1_S7_rev.normalised","WT_ZN_E81_5_S11_rev.normalised","WT_ZN_E82_9_S15_rev.normalised","WT_ZN_E83_13_S19_rev.normalised","gene_symbol"
"43446","Rtn4ip1",230.4,249.3,240.7,244.3,240.3,256.2,264.5,291.5,223.5,216.8,274.1,247.5,"RTN4IP1"
"43447","Rtn4r",1752.2,1502.4,1492.3,1756.2,1711.5,2361.2,1526.2,1294.3,1819.5,2075.4,2113.8,1616.7,"RTN4R"
"43448","Rtn4rl1",1618.5,1901.5,2130.6,2039.4,2063.5,2063.6,1902.2,1776.9,1517.7,2253.2,1985.9,1890.4,"RTN4RL1"
"43449","Rtn4rl2",773.7,786.2,980.4,1105.3,915.2,1198.2,747.4,841.7,786.3,1364.9,1108.7,970.8,"RTN4RL2"
"43450","Rtp1",0,12,15.7,9.7,13.4,4.3,8.3,9,10.2,12,3.7,17.4,"RTP1"
"43451","Rtp2",0,1.1,5.5,1.6,4.9,1.1,8.3,7,2,0,2.4,1,"RTP2"
"43452","Rtp3",5.7,9.8,18.4,13,6.1,15.9,9.2,5,11.2,4,1.2,4.8,"RTP3"
"43453","Rtp4",76.8,83.1,80.2,87.6,49.8,63.8,47.9,66.7,89.4,40,43.9,36.7,"RTP4"
"43454","Rttn",103.4,73.3,107,81.2,82.5,61.7,74.6,80.6,91.4,70.9,70.7,78.3,"RTTN"
"43455","Rubcn",2073.7,1855.5,2159.2,2191.2,1973.7,1790.3,1725.2,2151.9,1826.6,2020.4,1827.5,2080.9,"RUBCN"
"43456","Rubcnl",19,28.4,21.2,40.6,17,17,34.1,20.9,14.2,33,23.1,18.4,"RUBCNL"
"43457","Rubie",0,0,0,4.1,0,0,0,0,0,0,0,0,"RUBIE"
"43458","Rufy1",961.5,950.2,1158.4,926,963.8,951.5,900.4,1354,1056.5,1001.2,975.9,842.2,"RUFY1"
"43459","Rufy2",1943.8,1664.2,2046.6,1630.4,1745.5,1507.5,1841.4,2059.4,1863.2,1736.6,1781.2,1772.4,"RUFY2"
"43460","Rufy3",3611.6,3541.6,4021.3,3333,3671.8,3158.6,3272.6,4068.1,3753.7,3603.2,3300.5,3456.8,"RUFY3"
"43461","Rufy4",0.9,7.7,0,14.6,4.9,7.4,3.7,0,6.1,0,13.4,7.7,"RUFY4"
"43462","Rundc1",958.6,867.1,788.6,1085,952.9,1024.9,862.6,865.5,954.9,1023.2,1092.9,1012.4,"RUNDC1"
"43463","Rundc3a",7787.4,7237.4,7006,8280.9,8299,10194.5,8170,6976.1,9431.6,10280,9222.9,7984.1,"RUNDC3A"
"43464","Rundc3b",521.5,516.1,509.1,443.1,496.5,350.8,575.1,477.5,461.2,478.6,473.9,469.9,"RUNDC3B"
"43465","Runx1",17.1,18.6,36,30.8,31.6,26.6,31.3,22.9,28.4,20,17.1,19.3,"RUNX1"
"43466","Runx1t1",537.6,451.6,721.3,522.6,507.4,373.2,387.1,655.6,378.9,493.6,369.2,462.2,"RUNX1T1"
"43467","Runx2",367.9,342.2,490.7,449.6,562,482.7,472.8,499.4,473.4,473.6,460.5,421.6,"RUNX2"
"43468","Runx2os1",30.3,24.1,20.3,33.3,35.2,67,49.8,14.9,28.4,40,57.3,44.5,"RUNX2OS1"
"43469","Runx2os2",0,0,0,0,0,0,0,0,0,0,0,0,"RUNX2OS2"
"43470","Runx2os3",0,0,0,0,0,0,0,0,0,0,0,0,"RUNX2OS3"
"43471","Runx3",1.9,2.2,0,8.1,2.4,8.5,0.9,4,2,1,0,0,"RUNX3"
"43472","Rusc1",2086,1816.2,2391.6,2234.2,2065.9,2058.2,1855.2,2351.9,2359.9,2435.1,1727.6,1859.4,"RUSC1"
"43473","Rusc2",3098.7,2802.4,3044.6,3359,3316.2,2666.4,2860.6,2874.2,2305.1,3551.2,2705.9,3126.1,"RUSC2"
"43474","Ruvbl1",641,586.1,651.2,626.5,616.6,627.3,631.3,647.7,683.7,663.5,632.3,512.5,"RUVBL1"
"43475","Ruvbl2",449.4,542.3,386.5,559.2,486.7,643.2,533.6,389,497.8,550.6,556.8,524.1,"RUVBL2"
"43476","Rwdd1",454.2,501.9,696.4,570.5,477,475.2,464.5,720.3,629.9,593.5,539.7,446.7,"RWDD1"
"43477","Rwdd2a",307.2,329.1,377.2,310,451.5,379.5,427.6,343.2,298.7,411.7,347.2,342.3,"RWDD2A"
"43478","Rwdd2b",152.7,131.2,126.4,152.6,168.7,151,171.4,126.3,147.3,210.8,160.8,147,"RWDD2B"
"43479","Rwdd3",126.1,148.7,148.5,125,179.6,165.9,234.1,174.1,128,161.9,202.2,123.8,"RWDD3"
"43480","Rwdd4a",416.3,542.3,533.1,463.4,463.7,419.9,479.2,644.7,433.8,523.6,494.6,519.2,"RWDD4A"
"43481","Rxfp1",731,355.4,795,469.1,560.8,385.9,153,1208.8,1231.3,199.8,196.2,333.6,"RXFP1"
"43482","Rxfp2",1.9,18.6,7.4,2.4,3.6,6.4,0.9,7,4.1,0,3.7,0,"RXFP2"
"43483","Rxfp3",79.6,121.4,112.5,108.7,160.2,101,130.9,76.6,39.6,119.9,103.6,123.8,"RXFP3"
"43484","Rxfp4",0,0,0,0,0,0,0,0,0,0,0,0,"RXFP4"
"43485","Rxra",867.6,805.9,701,899.2,922.5,829.3,769.5,670.5,757.9,858.3,785.8,953.4,"RXRA"
"43486","Rxrb",1343.6,1151.4,1066.2,1354.5,1216.3,1415,1283.8,1026.7,1494.4,1487.8,1365.8,1378.9,"RXRB"
"43487","Rxrg",70.2,88.6,68.3,75.5,94.7,73.4,118,60.7,53.8,99.9,91.4,73.5,"RXRG"
"43488","Rybp",513,578.4,637.3,522.6,540.2,401.9,494,583,413.5,509.6,455.7,588.9,"RYBP"
"43489","Rybp-ps",3.8,1.1,1.8,0.8,1.2,0,0,1,0,0,0,2.9,"RYBP-PS"
"43490","Ryk",623,639.7,726.8,585.1,503.7,604.9,595.4,689.5,691.8,586.5,701.8,644,"RYK"
"43491","Ryr1",892.2,785.1,570.9,757.2,1036.6,1244.9,1058.9,762.1,869.6,851.3,1442.5,1029.8,"RYR1"
"43492","Ryr2",5341.1,5490.1,6721,5277.4,6229.4,5111.6,5617.1,6707.5,4666,5095,5813.9,5620.8,"RYR2"
"43493","Ryr3",2082.2,2536.7,2749.5,2353.5,2657.1,2456.9,2880.9,2629.5,2488.9,2423.1,2907,2255.9,"RYR3"
"43494","S100a1",1677.3,1746.2,1983,2054.8,1574.3,2025.3,1615.6,2065.4,2036.9,1663.7,1784.9,1616.7,"S100A1"
"43495","S100a10",364.1,369.6,338.5,399.3,369,314.7,416.6,260.7,356.6,354.7,338.7,309.4,"S100A10"
"43496","S100a11",111.9,150.9,211.2,352.2,106.8,157.3,86.6,263.6,151.4,99.9,98.7,116,"S100A11"
"43497","S100a11-ps",0,0,0,0,0,0,0,0,0,0,0,0,"S100A11-PS"
"43498","S100a13",386.9,276.6,241.6,284,250,342.3,311.5,251.7,409.4,270.8,347.2,306.5,"S100A13"
"43499","S100a14",0,0,0.9,0.8,0,0,2.8,1,0,2,0,1,"S100A14"
"43500","S100a16",857.2,927.2,692.7,944.6,878.8,1196,1041.4,658.6,1023,1083.2,852.8,889.6,"S100A16"
"43501","S100a2",0,0,0,0.8,0,0,0,0,0,0,0,0,"S100A2"
"43502","S100a3",8.5,9.8,10.1,8.9,9.7,10.6,8.3,10.9,7.1,10,4.9,6.8,"S100A3"
"43503","S100a4",0.9,1.1,0,0,1.2,2.1,0.9,0,1,0,2.4,0,"S100A4"
"43504","S100a5",1.9,5.5,1.8,5.7,4.9,1.1,0.9,0,1,0,1.2,1,"S100A5"
"43505","S100a6",132.7,225.2,119,180.2,123.8,153.1,176,58.7,144.3,128.9,146.2,128.6,"S100A6"
"43506","S100a7a",1.9,4.4,6.5,8.9,12.1,9.6,12.9,2,3,3,3.7,11.6,"S100A7A"
"43507","S100a8",27.5,15.3,12.9,10.6,17,6.4,1.8,25.9,19.3,5,3.7,12.6,"S100A8"
